Model Category,Model Name,Size Classification,Parameter Count,Memory Footprint,Library/Framework,Version Requirements,Primary Purpose,Implementation Files,Configuration Details,Input Specification,Output Specification,Performance Characteristics,Runtime Dependencies,Training Requirements,Inference Speed,Model Architecture Details
Large Language Model,all-MiniLM-L6-v2,Small-Medium,22.7M parameters,90-120 MB RAM,sentence-transformers,>=2.0.0,Primary text embedding generation,core_system.py utils.py query_processor.py,Config.EMBEDDING_MODEL='all-MiniLM-L6-v2',Raw text strings (max 512 tokens),384-dimensional dense vectors,Optimized for semantic similarity tasks,transformers torch pytorch,Pre-trained on Microsoft datasets,~50ms per embedding,6-layer BERT-based transformer
Large Language Model,all-MiniLM-L6-v2,Small-Medium,22.7M parameters,90-120 MB RAM,sentence-transformers,>=2.0.0,Intent classification via embeddings,core_system.py QueryUnderstandingEngine._classify_intent_nlp(),Pre-computed intent embeddings cached,Query strings,Cosine similarity scores,Sub-millisecond classification,transformers torch pytorch,Pre-trained on Microsoft datasets,<1ms inference,Dense retrieval architecture
Large Language Model,all-MiniLM-L6-v2,Small-Medium,22.7M parameters,90-120 MB RAM,sentence-transformers,>=2.0.0,Query expansion and similarity,core_system.py._expand_query_nlp(),NLP-based query enhancement,Keyword lists,Enhanced query terms,Semantic similarity threshold 0.7,transformers torch pytorch,Pre-trained on Microsoft datasets,~20ms per expansion,Symmetric sentence embedding
Large Language Model,all-MiniLM-L6-v2,Small-Medium,22.7M parameters,90-120 MB RAM,sentence-transformers,>=2.0.0,AI-powered property summarization,core_system.py AISummaryGenerator,Lightweight summarization model,Property JSON documents,Intelligent property summaries,Context-aware content generation,transformers torch pytorch,Pre-trained on Microsoft datasets,~100ms per summary,Encoder-only transformer
NLP Pipeline,en_core_web_sm,Medium,50M parameters,200-250 MB RAM,spacy,>=3.0.0,Named Entity Recognition,core_system.py utils.py TextProcessor,Optional advanced NLP processing,Raw text documents,Named entities with labels,Industrial-strength NLP accuracy,None (standalone),Trained on OntoNotes 5.0,~10ms per document,CNN + BiLSTM architecture
NLP Pipeline,en_core_web_sm,Medium,50M parameters,200-250 MB RAM,spacy,>=3.0.0,Part-of-speech tagging,core_system.py._extract_entities_nlp(),Advanced linguistic analysis,Text sequences,POS tags and dependencies,99%+ accuracy on standard datasets,None (standalone),Trained on Universal Dependencies,~5ms per sentence,Multi-task learning architecture
NLP Pipeline,en_core_web_sm,Medium,50M parameters,200-250 MB RAM,spacy,>=3.0.0,Advanced text preprocessing,utils.py TextProcessor._load_nlp_model(),Context-aware text cleaning,Raw user input,Cleaned linguistic tokens,Better than regex-based processing,None (standalone),Trained on web text corpora,~8ms per text,Statistical + neural components
Vector Database,FAISS IndexFlatIP,Minimal,N/A (index structure),Variable by dataset size,faiss-cpu or faiss-gpu,>=1.6.0,High-speed vector similarity search,utils.py IndexManager core_system.py,Inner product for cosine similarity,384-dim float32 vectors,Document IDs and similarity scores,Sub-second search on 50K+ documents,numpy blas,No training required,<100ms for 10K docs,Flat exhaustive search
Vector Database,FAISS IndexFlatIP,Minimal,N/A (index structure),Variable by dataset size,faiss-cpu or faiss-gpu,>=1.6.0,Semantic document retrieval,core_system.py SemanticSearchEngine._perform_faiss_search(),FAISS index with L2 normalization,Query embedding vectors,Top-k nearest neighbors,Linear search complexity O(n),numpy blas,No training required,Scales linearly,Brute-force similarity
Math Library,NumPy Arrays,Minimal,N/A (data structure),Depends on embedding count,numpy,>=1.19.0,Dense vector storage and operations,All embedding operations,Float32 arrays for memory efficiency,Document text,Dense vector representations,Optimized BLAS operations,BLAS LAPACK,No training required,Microseconds,Vectorized computations
Math Library,NumPy Linear Algebra,Minimal,N/A (algorithms),Temporary memory only,numpy,>=1.19.0,Vector similarity calculations,core_system.py cosine similarity,BLAS-optimized linear algebra,Vector pairs,Cosine similarity scores,Hardware-accelerated math,BLAS LAPACK,No training required,Nanoseconds per operation,SIMD vectorization
Pattern Engine,Python RegEx,Minimal,N/A (finite automaton),<1 MB memory,re,Built-in standard library,Numeric constraint extraction,query_processor.py config/numeric_config.py,Compiled pattern objects,Query strings,Extracted numeric values,Deterministic pattern matching,None,No training required,Microseconds per match,Finite state machine
Pattern Engine,Python RegEx,Minimal,N/A (finite automaton),<1 MB memory,re,Built-in standard library,Entity pattern recognition,query_processor.py EntityExtractor,Property type and amenity patterns,Natural language text,Named entity matches,Fallback when SpaCy unavailable,None,No training required,Sub-millisecond,Regular expression engine
String Matcher,FuzzyWuzzy Levenshtein,Small,N/A (algorithm),<10 MB memory,fuzzywuzzy,>=0.18.0,Approximate string matching,utils.py core_system.py,Levenshtein distance computation,String pairs,Similarity percentages (0-100),Handles typos and variations,python-levenshtein,No training required,~1ms per comparison,Edit distance algorithm
